time,low,high,open,close
Mar  6 14:29:00,1121140,1302610,1134830,1134500
Mar  6 16:45:00,1121140,1304910,1300860,1301060
Mar  6 17:47:00,1121140,1304910,1129280,1129420
Mar  6 04:44:00,1121140,1296560,1123030,1295540
Mar  6 06:18:00,1121140,1296560,1295410,1122710
Mar  6 09:23:00,1121140,1298540,1298260,1127410
Mar  6 09:38:00,1121140,1299730,1128090,1128130
Mar  6 16:40:00,1121140,1304910,1301610,1131330
Mar  6 02:50:00,1121140,1296560,1123400,1123380
Mar  6 04:42:00,1121140,1296560,1123030,1123060
Mar  6 05:16:00,1121140,1296560,1123370,1123360
Mar  6 11:17:00,1121140,1301430,1133340,1133590
Mar  6 12:30:00,1121140,1302610,1132150,1132200
Mar  6 02:04:00,1121140,1296430,1124410,1124210
Mar  6 13:28:00,1121140,1302610,1300830,1133150
Mar  6 00:27:00,1121350,1295660,1295200,1295200
Mar  6 03:11:00,1121140,1296560,1123200,1123220
Mar  6 03:36:00,1121140,1296560,1122800,1122950
Mar  6 12:12:00,1121140,1302610,1131960,1300380
Mar  6 14:32:00,1121140,1302610,1133920,1133720
Mar  6 04:20:00,1121140,1296560,1123470,1295710
Mar  6 08:05:00,1121140,1298120,1298000,1124140
Mar  6 12:38:00,1121140,1302610,1131240,1131070
Mar  6 17:20:00,1121140,1304910,1132120,1300470
Mar  6 17:58:00,1121140,1304910,1300190,1130680
Mar  6 14:37:00,1121140,1302610,1301960,1302120
Mar  6 18:59:00,1121140,1304910,1129820,1300160
Mar  6 00:12:00,1121930,1295640,1122360,1122260
Mar  6 00:14:00,1121930,1295660,1295610,1295590
Mar  6 03:09:00,1121140,1296560,1295600,1123040
Mar  6 13:02:00,1121140,1302610,1299210,1299390
Mar  6 13:38:00,1121140,1302610,1131320,1299540
Mar  6 09:35:00,1121140,1299490,1299430,1299480
Mar  6 12:17:00,1121140,1302610,1131610,1299690
Mar  6 00:58:00,1121140,1295860,1121840,1121930
Mar  6 01:26:00,1121140,1295860,1122660,1295740
Mar  6 02:33:00,1121140,1296560,1123780,1123800
Mar  6 05:07:00,1121140,1296560,1295540,1123310
Mar  6 09:31:00,1121140,1299170,1298900,1298980
Mar  6 01:17:00,1121140,1295860,1295460,1122030
Mar  6 04:33:00,1121140,1296560,1295490,1123240
Mar  6 00:06:00,1121930,1295520,1122070,1295350
Mar  6 03:19:00,1121140,1296560,1123100,1123150
Mar  6 13:52:00,1121140,1302610,1131990,1132140
Mar  6 00:33:00,1121350,1295660,1122050,1122090
Mar  6 15:04:00,1121140,1304910,1134160,1304490
Mar  6 16:02:00,1121140,1304910,1131060,1131110
Mar  6 20:18:00,1121140,1304910,1132510,1132220
Mar  6 20:25:00,1121140,1304910,1131320,1302370
Mar  6 09:28:00,1121140,1299170,1298890,1298820
Mar  6 09:29:00,1121140,1299170,1298920,1127350
Mar  6 09:50:00,1121140,1299750,1128990,1128960
Mar  6 15:23:00,1121140,1304910,1133070,1132510
Mar  6 17:28:00,1121140,1304910,1131220,1131390
Mar  6 02:21:00,1121140,1296560,1124050,1295840
Mar  6 03:04:00,1121140,1296560,1123160,1123090
Mar  6 10:57:00,1121140,1301430,1131280,1299860
Mar  6 13:43:00,1121140,1302610,1132520,1132210
Mar  6 14:30:00,1121140,1302610,1134500,1301790
Mar  6 04:51:00,1121140,1296560,1123250,1123280
Mar  6 09:01:00,1121140,1298170,1296910,1127660
Mar  6 12:28:00,1121140,1302610,1300210,1132140
Mar  6 14:04:00,1121140,1302610,1132510,1132540
Mar  6 01:45:00,1121140,1295860,1122810,1122770
Mar  6 18:30:00,1121140,1304910,1129520,1129360
Mar  6 00:41:00,1121350,1295860,1295710,1122490
Mar  6 04:57:00,1121140,1296560,1295570,1123230
Mar  6 05:05:00,1121140,1296560,1295610,1123320
Mar  6 11:01:00,1121140,1301430,1131670,1131880
Mar  6 13:56:00,1121140,1302610,1299600,1299650
Mar  6 15:12:00,1121140,1304910,1304680,1135010
Mar  6 02:20:00,1121140,1296560,1124390,1124050
Mar  6 06:04:00,1121140,1296560,1123640,1123610
Mar  6 06:43:00,1121140,1296560,1295600,1295480
Mar  6 07:44:00,1121140,1297620,1123050,1297590
Mar  6 10:45:00,1121140,1301430,1130570,1299710
Mar  6 04:48:00,1121140,1296560,1123170,1123270
Mar  6 08:26:00,1121140,1298120,1124160,1297180
Mar  6 14:50:00,1121140,1302610,1134660,1134590
Mar  6 15:46:00,1121140,1304910,1130530,1130780
Mar  6 19:27:00,1121140,1304910,1130670,1301380
Mar  6 06:35:00,1121140,1296560,1122440,1122320
Mar  6 07:58:00,1121140,1297700,1123470,1123570
Mar  6 09:40:00,1121140,1299750,1128260,1299780
Mar  5 23:17:00,1122600,1295520,1122700,1122850
Mar  6 00:07:00,1121930,1295520,1295350,1122160
Mar  6 04:09:00,1121140,1296560,1296310,1123860
Mar  6 05:15:00,1121140,1296560,1295720,1295710
Mar  6 06:17:00,1121140,1296560,1122740,1295410
Mar  6 19:51:00,1121140,1304910,1301760,1131500
Mar  6 10:18:00,1121140,1299810,1130070,1130110
Mar  6 10:28:00,1121140,1301430,1131970,1300820
Mar  6 13:30:00,1121140,1302610,1300800,1131810
Mar  6 14:25:00,1121140,1302610,1301510,1134390
Mar  6 15:48:00,1121140,1304910,1130670,1130730
Mar  6 10:33:00,1121140,1301430,1131490,1300190
Mar  6 10:51:00,1121140,1301430,1299930,1299730
